No.,Time,Source,Destination,Protocol,Length,Info,,,,,Fake
71,0.046529,,,CAN,40,STD: 0x000001dc   02 02 cb 12,,,,,
72,0.046783,,,CAN,40,STD: 0x000001ea   00 00 00 00 00 00 00 2d,,,,,
73,0.04693,,,CAN,40,STD: 0x000001ed   01 ff 1c,,,,,
74,0.04718,,,CAN,40,STD: 0x00000320   00 00 00 00 00 00 00 12,,,,,
75,0.047415,,,CAN,40,STD: 0x00000324   72 4e 09 2f 00 00 00 19,,,,,
76,0.047665,,,CAN,40,STD: 0x00000328   00 00 00 00 00 80 00 03,,,,,
77,0.048784,,,CAN,40,STD: 0x00000156   ff f0 00 00 07 26,,,,,
78,0.049864,,,CAN,40,STD: 0x0000018e   08 25 3f,,,,,
79,0.054248,,,CAN,40,STD: 0x00000091   80 27 08 0a 05 00 00 24,,,,,
80,0.054489,,,CAN,40,STD: 0x0000013c   00 19 00 18 00 00 04 3e,,,,,
81,0.054739,,,CAN,40,STD: 0x00000158   00 00 00 00 00 00 00 37,,,,,
82,0.054985,,,CAN,40,STD: 0x0000017c   00 00 02 cb 00 00 00 38,,,,,
83,0.055222,,,CAN,40,STD: 0x00000191   01 00 00 a9 a9 01 7f 3c,,,,,fake
84,0.055402,,,CAN,40,STD: 0x0000019b   00 55 00 00 27,,,,,
85,0.055222,,,CAN,40,STD: 0x00000191   01 00 00 a9 a9 01 7f 3c,,,,,
86,0.055938,,,CAN,40,STD: 0x000001a6   00 00 00 58 48 80 00 24,,,,,
87,0.056188,,,CAN,40,STD: 0x00000309   00 00 00 00 00 00 00 ee,,,,,
88,0.056421,,,CAN,40,STD: 0x00000367   e7 8a 1e 79 38 7e ff 22,,,,,
89,0.056517,,,CAN,40,STD: 0x00000372   20 28,,,,,
90,0.056786,,,CAN,40,STD: 0x00000374   48 00 00 5c 00 00 2b,,,,,
91,0.058784,,,CAN,40,STD: 0x00000156   ff f0 00 00 07 35,,,,,
92,0.05999,,,CAN,40,STD: 0x0000018e   08 22 05,,,,,
93,0.064255,,,CAN,40,STD: 0x000001a4   00 66 00 00 00 00 00 3a,,,,,
94,0.064489,,,CAN,40,STD: 0x00000091   80 27 08 06 05 00 00 37,,,,,
95,0.064733,,,CAN,40,STD: 0x0000013c   00 19 00 18 00 00 04 01,,,,,
96,0.064981,,,CAN,40,STD: 0x00000158   00 00 00 00 00 00 00 0a,,,,,
97,0.065226,,,CAN,40,STD: 0x0000017c   00 00 02 cb 00 00 00 0b,,,,,
98,0.065463,,,CAN,40,STD: 0x00000191   01 00 00 a9 a9 01 7f 0f,,,,,
